"","airline_icao","linetype_code","n","totalAirline","flight_type"
"1","AAL","I",128228,128228,"I"
"2","ARG","G",2,93958,"C"
"3","ARG","I",93956,93958,"I"
"4","AZU","H",292,1205803,"D"
"5","AZU","C",1862,1205803,"C"
"6","AZU","G",202,1205803,"C"
"7","AZU","E",2690,1205803,"D"
"8","AZU","L",630,1205803,"C"
"9","AZU","N",983850,1205803,"D"
"10","AZU","R",204392,1205803,"D"
"11","AZU","I",11885,1205803,"I"
"12","BLC","E",8096,67481,"D"
"13","BLC","N",52708,67481,"D"
"14","BLC","R",3518,67481,"D"
"15","BLC","L",441,67481,"C"
"16","BLC","I",2718,67481,"I"
"17","CMP","I",74117,74117,"I"
"18","GLO","N",2749175,3512756,"D"
"19","GLO","I",180776,3512756,"I"
"20","GLO","R",172071,3512756,"D"
"21","GLO","L",6919,3512756,"C"
"22","GLO","C",26944,3512756,"C"
"23","GLO","H",6633,3512756,"D"
"25","GLO","E",370154,3512756,"D"
"26","LAN","N",3,48971,"D"
"27","LAN","G",134,48971,"C"
"28","LAN","I",48834,48971,"I"
"29","NES","N",45458,122988,"D"
"30","NES","R",67223,122988,"D"
"31","NES","E",10307,122988,"D"
"32","NHG","N",1998,46298,"D"
"33","NHG","R",44289,46298,"D"
"34","NHG","I",11,46298,"I"
"35","ONE","E",51084,674803,"D"
"36","ONE","C",1351,674803,"C"
"37","ONE","G",307,674803,"C"
"38","ONE","I",7063,674803,"I"
"39","ONE","N",566483,674803,"D"
"40","ONE","R",48515,674803,"D"
"41","PTB","C",61,236912,"C"
"42","PTB","R",214653,236912,"D"
"43","PTB","N",22198,236912,"D"
"44","PTN","R",111099,129303,"D"
"45","PTN","N",13714,129303,"D"
"46","PTN","E",4490,129303,"D"
"47","RLE","N",5475,68042,"D"
"48","RLE","R",62567,68042,"D"
"49","RSL","R",132668,276575,"D"
"50","RSL","E",75473,276575,"D"
"51","RSL","N",68434,276575,"D"
"52","SLX","R",46669,46669,"D"
"53","TAM","E",600300,4021476,"D"
"54","TAM","R",561122,4021476,"D"
"55","TAM","N",2502224,4021476,"D"
"56","TAM","L",9097,4021476,"C"
"57","TAM","I",348569,4021476,"I"
"58","TAM","H",127,4021476,"D"
"59","TAM","C",37,4021476,"C"
"60","TAP","I",97358,97363,"I"
"61","TAP","G",5,97363,"C"
"62","TBA","E",5004,69045,"D"
"63","TBA","N",57343,69045,"D"
"64","TBA","R",56,69045,"D"
"65","TBA","I",6642,69045,"I"
"66","TIB","E",2266,534369,"D"
"67","TIB","N",46606,534369,"D"
"68","TIB","L",2971,534369,"C"
"69","TIB","R",482510,534369,"D"
"70","TIB","C",16,534369,"C"
"71","TTL","R",68620,109513,"D"
"72","TTL","I",1,109513,"I"
"73","TTL","N",2194,109513,"D"
"74","TTL","L",35989,109513,"C"
"75","TTL","E",227,109513,"D"
"76","TTL","C",2482,109513,"C"
"77","UAL","I",54256,54256,"I"
"78","VRG","R",14149,799564,"D"
"79","VRG","G",547,799564,"C"
"80","VRG","N",465146,799564,"D"
"81","VRG","I",195219,799564,"I"
"82","VRG","E",123941,799564,"D"
"83","VRG","L",562,799564,"C"
"84","VRN","I",18751,93765,"I"
"85","VRN","R",1406,93765,"D"
"86","VRN","E",29190,93765,"D"
"87","VRN","N",44418,93765,"D"
"88","VSP","E",72513,344890,"D"
"89","VSP","C",14701,344890,"C"
"90","VSP","L",2928,344890,"C"
"91","VSP","I",2971,344890,"I"
"92","VSP","N",251777,344890,"D"
"93","WEB","N",168768,169859,"D"
"94","WEB","E",1091,169859,"D"
