"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","destination_icao","variable","NA","NA.1","rate","punc"
"4",4,166332,11.9159752783589,50.3751697633717,0,3.24476575533946,0,-100,1439,1539,15.7018041481076,364.233646573057,0.123517535548438,"SBGR","arrival_delay",NA,NA,94.5569390773341,0.87398095375514
"8",4,140828,9.95307041213395,29.7833703832665,0,3.36964780231485,0,-27,1437,1464,10.1617647011655,282.05783844136,0.079365057745259,"SBSP","arrival_delay",NA,NA,85.5198901769372,0.883616894367597
"12",4,105944,10.0816091520048,34.221422651093,0,3.35724904431545,0,-48,1436,1484,15.9138366719904,507.507755458896,0.105138040109878,"SBBR","arrival_delay",NA,NA,89.0220036672779,0.886751491353923
"16",4,87796,12.5675543304934,52.4161649333596,0,3.67788091916057,0,-92,1437,1529,16.160614772273,371.418325511832,0.176900018117219,"SBGL","arrival_delay",NA,NA,97.5321311765226,0.871144471274318
"20",4,68984,8.21690536936101,26.5562008331371,0,2.31787707472639,0,-31,899,930,8.4504343279532,141.065476982313,0.101109452290495,"SBRJ","arrival_delay",NA,NA,88.3884297520661,0.907036414240983
"24",4,56577,10.6363186453859,35.194029510309,0,3.53445418995648,0,-107,1439,1546,15.608951274833,494.215142101152,0.147961605886781,"SBSV","arrival_delay",NA,NA,89.6693488302787,0.881382894108913
"28",4,53186,11.731263866431,35.7368096355873,0,4.05894242068155,0,-50,1431,1481,11.1128739330467,276.389226803884,0.154959110268213,"SBCT","arrival_delay",NA,NA,89.5306356722629,0.868969277629451
"32",4,50946,10.0155851293526,29.9651007873483,0,3.47732960400412,0,-49,1436,1485,10.7998420576007,318.878245820194,0.132757998780688,"SBCF","arrival_delay",NA,NA,87.9293468895399,0.886095081066227
"36",4,47861,12.8692672530871,37.2575867253924,0,5.14416673195957,0,-93,1434,1527,12.1327438374009,331.667115662975,0.170303603266271,"SBPA","arrival_delay",NA,NA,88.091533180778,0.85391028185788
"40",4,45240,12.7448938992042,53.9417307133537,0,3.43388041556145,0,-56,1438,1494,13.6576909288832,268.117047359513,0.253608367517669,"SBKP","arrival_delay",NA,NA,109.262649232518,0.883355437665783
"44",4,43494,11.265071044282,37.5191840033649,0,3.79756293826877,0,-46,1425,1471,12.8774976287941,315.975900839273,0.179903125852898,"SBRF","arrival_delay",NA,NA,90.8348164627364,0.875982894192302
"48",4,32438,12.4407793328812,37.7189146094821,0,4.81481196054254,0,-35,1422,1457,12.9186293993444,348.330962701403,0.20942674961402,"SBFZ","arrival_delay",NA,NA,90.7883014623172,0.862969356927061
"52",4,23807,12.6826143571219,46.1645680776788,0,4.08001260040951,0,-24,1428,1452,13.4718401050742,292.248188293404,0.299196452997686,"SBBE","arrival_delay",NA,NA,98.8978054372748,0.8717604066031
"56",4,23717,10.9254121516212,29.018980718668,0,4.25280632411067,0,-20,617,637,5.71275131915948,55.5860035504661,0.188430967118589,"SBFL","arrival_delay",NA,NA,85.1801446416831,0.871737572205591
"60",4,22361,9.95281964133983,28.7449655113816,0,3.31896696293812,0,-23,1211,1234,8.40005650301428,188.91249439391,0.192227793593849,"SBVT","arrival_delay",NA,NA,85.4665898617512,0.883547247439739
"64",4,21084,20.392667425536,86.9795488898184,0,5.63249940716149,0,-103,1439,1542,10.2504583832054,128.968990626278,0.599019068071872,"SBEG","arrival_delay",NA,NA,131.325290164936,0.844716372604819
"68",4,21040,11.3527091254753,33.9907676725733,0,4.31255941064639,0,-25,1416,1441,10.7593458218883,248.124802925203,0.234335510561293,"SBGO","arrival_delay",NA,NA,88.6640682999257,0.871958174904943
"72",4,18781,10.4151003673926,34.2504369642732,0,2.3816306156406,0,-18,924,942,8.27813311230283,135.345876592867,0.249923307787608,"SBBH","arrival_delay",NA,NA,90.5164275798242,0.884936904318194
"76",4,18079,11.6254217600531,33.6294333144553,0,4.49402004839267,0,-23,1366,1389,9.81788272810661,229.355287493275,0.250110743219143,"SBCY","arrival_delay",NA,NA,87.0654515327258,0.866474915647989
"80",4,13813,16.4796930427858,54.3331247168134,0,4.52954483757126,0,-35,1437,1472,8.49245941799273,133.623948158455,0.462296575387395,"SAEZ","arrival_delay",NA,NA,95.3241206030151,0.827119380293926
"84",4,12739,12.4554517623047,34.669012840243,0,4.10948690277641,0,-22,680,702,5.64752770993883,53.7531966923072,0.307166470157657,"SBRP","arrival_delay",NA,NA,90.0510783200908,0.861684590627208
"88",4,11842,10.4525418003716,27.4041370325805,0,3.96052353810429,0,-25,552,577,5.27527576862686,49.6205295312997,0.251827759814342,"SBCG","arrival_delay",NA,NA,83.6344594594595,0.875021111298767
"92",4,10649,10.7647666447554,29.3572194144351,0,4.20525759887337,0,-25,691,716,6.75365879272032,86.5429713828733,0.284485742092581,"SBSL","arrival_delay",NA,NA,86.9757207890744,0.876232510094845
"96",4,10188,11.9443462897526,36.3906299317411,0,4.60046614327772,0,-22,1426,1448,14.7678229693944,469.617184020549,0.360533068831334,"SBMO","arrival_delay",NA,NA,88.5655021834061,0.865135453474676
"100",4,10145,12.4961064563825,33.4778843382888,0,4.56954539854626,0,-66,728,794,5.43714907680475,52.6524423793558,0.332377777040025,"SBUL","arrival_delay",NA,NA,85.8895663956639,0.854509610645638
