"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","origin_icao","variable","NA","NA.1","rate","punc"
"3",3,170610,13.3244885997304,48.7044622354695,0,4.4390056268683,0,0,1439,1439,15.3962217351735,365.65311933801,0.117914309195413,"SBGR","departure_delay",NA,NA,99.2616802026024,0.865764023210832
"7",3,145664,9.3665696397188,26.1835316600025,0,3.33005526379021,0,0,796,796,6.54297402070937,75.0006708493486,0.0686044217891711,"SBSP","departure_delay",NA,NA,92.7072093497316,0.898966113796134
"11",3,106264,11.3153278626816,32.8962910602289,0,4.73316708229426,0,0,1438,1438,15.3809875797913,513.948307298781,0.10091456575447,"SBBR","departure_delay",NA,NA,91.1332423829013,0.875837536701046
"15",3,88797,12.3821863351239,42.4411444281969,0,3.96981939498022,0,0,1438,1438,13.9799080509691,348.43321998688,0.142425561223489,"SBGL","departure_delay",NA,NA,96.8638005462074,0.8721691048121
"19",3,69194,7.35322426800012,23.624027186837,0,1.74635089240552,0,0,463,463,6.46945915399297,61.0681654507551,0.0898089699060766,"SBRJ","departure_delay",NA,NA,95.7288805268109,0.923186981530191
"23",3,56126,10.9354131774935,37.7005107980894,0,3.43367778718097,0,0,1435,1435,15.2857721028332,436.090505954634,0.15913480946094,"SBSV","departure_delay",NA,NA,96.6857277882798,0.88689733813206
"27",3,52424,12.1473180222799,39.473001342378,0,3.75579399141631,0,0,1432,1432,11.6905545616444,272.830830852832,0.17239913080979,"SBCT","departure_delay",NA,NA,99.7823566280163,0.87826186479475
"31",3,50849,9.47194635096069,28.8712666161102,0,3.04845013642732,0,0,1435,1435,11.4941945095842,341.539921395674,0.128033798133705,"SBCF","departure_delay",NA,NA,94.736231313926,0.900017699463116
"35",3,46832,10.5965152032798,33.4281411631602,0,3.08607804409331,0,0,1428,1428,10.1124405961571,239.023011456029,0.154468836354405,"SBPA","departure_delay",NA,NA,97.3050980392157,0.891100102494021
"39",3,49026,10.8170562558642,48.3827347245902,0,2.69430421702106,0,0,1439,1439,15.955973529687,359.369874086167,0.218512950803728,"SBKP","departure_delay",NA,NA,117.900622498888,0.908252763839595
"43",3,44070,10.8051055139551,38.4612129804727,0,3.21281484002723,0,0,1437,1437,15.8230873968863,447.585568104326,0.183210960495252,"SBRF","departure_delay",NA,NA,97.0807339449541,0.888699795779442
"47",3,31765,10.2008499921297,37.7455761094876,0,2.86361311139968,0,0,1439,1439,15.6861739868304,435.150973802704,0.211783259701488,"SBFZ","departure_delay",NA,NA,95.2189244784014,0.892869510467496
"51",3,24832,12.3128221649485,46.1976962123843,0,3.67386489479513,0,0,1437,1437,13.9327586917606,309.418555595312,0.293166585545327,"SBBE","departure_delay",NA,NA,101.883372209264,0.87914787371134
"55",3,23066,9.26129367900806,27.5805347236525,0,2.55684404465157,0,0,510,510,5.73451412374385,49.380833229779,0.181600290141451,"SBFL","departure_delay",NA,NA,92.3167675021608,0.899679181479234
"59",3,21314,8.27202777517125,24.8758459715945,0,2.1684846352334,0,0,379,379,5.60653661024805,45.4223782699539,0.170390500391732,"SBVT","departure_delay",NA,NA,92.3572551073861,0.910434456225955
"63",3,20184,16.5379013079667,68.254248744377,0,4.00860787713649,0,0,1435,1435,11.0594982508384,165.625398970414,0.480425523565296,"SBEG","departure_delay",NA,NA,126.872291904219,0.869649227110583
"67",3,19931,9.26300737544529,29.4233961774648,0,2.68730009407338,0,0,1429,1429,12.3150459447077,381.27106088285,0.208414655524995,"SBGO","departure_delay",NA,NA,91.577876984127,0.898851036074457
"71",3,18960,9.66244725738397,34.4293787716813,0,2.25982331223629,0,0,1317,1317,11.8670138768482,265.714642748367,0.250040305042557,"SBBH","departure_delay",NA,NA,95.9664745940283,0.899314345991561
"75",3,17731,11.3857650442727,60.845912922789,0,2.22714134649277,0,0,1439,1439,17.7887925611874,389.893028416472,0.456945912364792,"SBCY","departure_delay",NA,NA,119.953060011884,0.905081495685523
"79",3,13238,12.8522435413204,48.0304644048346,0,1.72724697885196,0,0,1432,1432,8.7345020887693,143.52569289754,0.417451088164259,"SAEZ","departure_delay",NA,NA,107.342586750789,0.880268922798006
"83",3,11909,11.323956671425,31.9558634136743,0,3.19225522090461,0,0,710,710,5.04603955659896,42.6163304982198,0.292828207198942,"SBRP","departure_delay",NA,NA,93.7809457579972,0.879250986648753
"87",3,11621,7.41743395576973,25.407450809088,0,1.25384532644939,0,0,672,672,7.03864178362469,86.1882376130291,0.235689015782278,"SBCG","departure_delay",NA,NA,89.231884057971,0.916874623526375
"91",3,10732,8.76639955273947,32.2122326820998,0,2.06894945259725,0,0,1434,1434,14.1913929003702,436.559829479743,0.310942793203726,"SBSL","departure_delay",NA,NA,95.7080366225839,0.908404770778979
"95",3,10235,8.52134831460674,27.0919404038171,0,1.86762730492124,0,0,576,576,6.06191492703292,59.1906213311062,0.267791130144142,"SBMO","departure_delay",NA,NA,92.7829787234043,0.908158280410357
"99",3,9879,10.6494584472113,32.3191231511568,0,2.56204933586338,0,0,582,582,5.49953073655828,45.3732505855115,0.325164463710802,"SBUL","departure_delay",NA,NA,97.6843082636954,0.890980868508958
